Running on Cartesius 

[1;31mtime	Thu Jan  8 12:47:19 CET 2015[0;39m
mat_name\tp\tn\tk\ttime_init\ttime_mv\ttime_ip\ttime_done\ttime_total
randmat_64_0_01.mtx-P1	1	3	64	15	0.001389	0.000352	0.000400	0.002147	0.002162
randmat_64_0_01.mtx-P2	2	3	64	16	0.001880	0.001039	0.001583	0.004515	0.004562
randmat_64_0_01.mtx-P4	4	3	64	15	0.002456	0.000970	0.002117	0.005550	0.005593
randmat_64_0_01.mtx-P8	8	3	64	15	0.003093	0.001588	0.003130	0.007820	0.007881
randmat_64_0_02.mtx-P1	1	3	64	23	0.001521	0.000643	0.000665	0.002842	0.002941
randmat_64_0_02.mtx-P2	2	3	64	22	0.001896	0.001281	0.002095	0.005293	0.005332
randmat_64_0_02.mtx-P4	4	3	64	22	0.002162	0.001825	0.003025	0.007025	0.007062
randmat_64_0_03.mtx-P1	1	3	64	15	0.001565	0.000365	0.000361	0.002302	0.002311
randmat_64_0_03.mtx-P2	2	3	64	15	0.001872	0.000894	0.001655	0.004432	0.004457
randmat_64_0_03.mtx-P4	4	3	64	15	0.002329	0.001297	0.002077	0.005710	0.005747
randmat_64_0_04.mtx-P1	1	3	64	19	0.001538	0.000520	0.000535	0.002603	0.002612
randmat_64_0_04.mtx-P2	2	3	64	19	0.001981	0.001145	0.001815	0.004956	0.004981
randmat_64_0_04.mtx-P4	4	3	64	19	0.002429	0.001496	0.002526	0.006466	0.006522
randmat_64_0_05.mtx-P1	1	3	64	16	0.001775	0.000310	0.000368	0.002476	0.002492
randmat_64_0_05.mtx-P2	2	3	64	16	0.001915	0.001056	0.001859	0.004845	0.004873
randmat_64_0_05.mtx-P4	4	3	64	16	0.002702	0.001181	0.002331	0.006221	0.006262
randmat_64_0_05.mtx-P8	8	3	64	16	0.003287	0.001952	0.003235	0.008498	0.008558
randmat_64_0_1.mtx-P1	1	3	64	14	0.001867	0.000260	0.000302	0.002438	0.002448
randmat_64_0_1.mtx-P2	2	3	64	14	0.002308	0.000916	0.001371	0.004607	0.004634
randmat_64_0_1.mtx-P4	4	3	64	14	0.002602	0.001228	0.001904	0.005743	0.005781
randmat_64_0_1.mtx-P8	8	3	64	14	0.003622	0.001602	0.002657	0.007886	0.007947
randmat_64_0_1.mtx-P16	16	3	64	14	0.005044	0.002324	0.003912	0.011283	0.011373
randmat_64_0_2.mtx-P1	1	3	64	13	0.002064	0.000309	0.000369	0.002774	0.002801
randmat_64_0_2.mtx-P2	2	3	64	13	0.002787	0.000826	0.001206	0.004827	0.004862
randmat_64_0_2.mtx-P4	4	3	64	13	0.002962	0.001051	0.001750	0.005771	0.005808
randmat_64_0_2.mtx-P8	8	3	64	13	0.003921	0.001458	0.002491	0.007880	0.007941
randmat_128_0_01.mtx-P1	1	3	128	19	0.001668	0.000643	0.000535	0.002911	0.002948
randmat_128_0_01.mtx-P2	2	3	128	19	0.002142	0.001250	0.001858	0.005262	0.005289
randmat_128_0_01.mtx-P4	4	3	128	19	0.002506	0.001492	0.002611	0.006621	0.006669
randmat_128_0_01.mtx-P8	8	3	128	19	0.003603	0.002048	0.003668	0.009329	0.009393
randmat_128_0_02.mtx-P1	1	3	128	16	0.001826	0.000617	0.000538	0.002997	0.003043
randmat_128_0_02.mtx-P2	2	3	128	16	0.002169	0.001248	0.001451	0.004878	0.004905
